Num,paintKey,idPaint,batchNumber,carBrand,paintCodeAndName,paintCode,paintName,initYear,endYear,paintBrand,typePaint,purchaseDate,Unit,Layer,Volume
1,PBT-1559971-C,1559971,34963855,Nissan,FAR / Airtech Blue Metallic,FAR , Airtech Blue Metallic,2011,2020,PBT - PRO//BASE 3.5 VOC,Basecoat,08/01/2023,,1 ,0.473 L
2,2PNISSL1-W,-,-,Nissan,QAB / White,QAB , White,2008,2017,Wandabase HS,Basecoat,04/00/2019,,1/2,0.473 L
3,PBT-1392391-B,1392391,22465177,Acura,NH782M / Graphite Luster Metallic,NH782M , Graphite Luster Metallic,2009,2017,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.473 L
4,PBT-1567736-B,1567736,12578562,Buick,GYO / WA204V / 204V / Deep Espresso Brown Metallic,GYO / WA204V / 204V , Deep Espresso Brown Metallic,2013,2016,PBT,-,11/26/2018,1 ,1 ,0.473 L
5,PBT-100289442-B,100289442,00070888,Chevrolet,GVU / 76 / WA518Q / 518Q / Mocha Bronze Metallic,GVU / 76 / WA518Q / 518Q , Mocha Bronze Metallic,2008,2016,PBT,-,10/29/2018,1 ,1 ,0.473 L
6,-,-,236878,Chrysler,EBCC04127 / Inferno Red Med Tint,EBCC04127 , Inferno Red Med Tint,1999,2006,LIMCO,Basecoat,03/18/2013,1 ,1 ,0.473 L
7,PBT-1564990-A,1564990,20447494,Cadillac,815T / WA815T / GLK / Black Diamond,815T / WA815T / GLK , Black Diamond,2011,2015,PBT,Tricoat,12/01/2020,1 ,1 ,0.473 L
8,PBN-5471307-B,5471307,-,Lincoln,G4 / Cashmere,G4 , Cashmere,2004,2007,Pro//Base National Rule - Pbn,Tricoat,-,1 ,1 ,0.473 L
9,PBT-100698655-B,100698655,17331518,Chevrolet,GBN / V / A800J / 800J / 98 / White Diamond Pearl,GBN / V / A800J / 800J / 98 , White Diamond Pearl,2003,2016,PBT,-,02/05/2020,1 ,1 ,0.473 L
10,C6-4977845-A,4977845,-,Toyota,040 / Super White li,040 , Super White li,1985,2015,Crossfire B/C,Basecoat,09/30/2017,1 ,1 ,0.473 L
11,PBT-1560671-D,1560671,21338081,Acura,NH789M / Forged Silver Metallic,NH789M , Forged Silver Metallic,-,-,PBT,-,-,1 ,1 ,0.473 L
12,PBT Midcoa - 1564562 - A,1564562,20447538,Cadillac,815T / WA815T / GLK / Black Diamond,815T / WA815T / GLK , Black Diamond,2011,2015,PBT,Midcoat,12/01/2020,1 ,1 ,0.473 L
13,C6-100139566-A,100139566,35832499,Toyota,218 / Attitude Black Metallic,218 , Attitude Black Metallic,2011,2024,C6 - Crossfire B/C,-,-,1 ,1 ,0.473 L
14,UFN - 4055282,4055282,-,Hyundai,2R / Quicksilver Metallic,2R , Quicksilver Metallic,2008,2011,-,Basecoat,-,1 ,1 ,0.473 L
15,56-78775-00-C,4108776,-,Honda,R528P / Moroccan Red Pearl,R528P , Moroccan Red Pearl,2007,2008,Crossfire Platinum B/C 5.0,Basecoat,03/28/2012,1 ,1 ,0.473 L
16,PBN-5664169-C,5664169,-,Lincoln,G4 / Cashmere,G4 , Cashmere,2004,2007,Pro//Base National Rule - Pbn,Tricoat,03/07/2017,1 ,1 ,0.473 L
17,PBN-5377142-C,5377142,-,Toyota,8R3 / Grayish Blue Metallic,8R3 , Grayish Blue Metallic,2003,-,Pro//Base National Rule - Pbn,-,12/05/2017,1 ,1 ,0.473 L
18,PBN-5507591-C,5507591,-,Toyota,1D6 / Silver Sky Metallic,1D6 , Silver Sky Metallic,2001,2015,Pro//Base National Rule - Pbn,Basecoat,02/13/2017,1 ,1 ,0.473 L
19,-,-,-,Kia,D0 / Bronze Metallic,D0 , Bronze Metallic,2009,-,-,-,-,1 ,1 ,0.473 L
20,PBN-5361004-B,5361004,-,Ford,G3 / Pueblo Gold Metallic,G3 , Pueblo Gold Metallic,2004,2015,Pro//Base National Rule - Pbn,Basecoat,11/30/2015,1 ,1 ,0.473 L
21,PBN-5376483-B,5376483,-,Subaru,97J / Satin White Pearl,97J , Satin White Pearl,2005,2015,Pro//Base National Rule - Pbn,-,-,1 ,1 ,0.473 L
22,PNB-5469191-C,5469191,-,Chevrolet,637R / Cyber Gray Metallic,637R , Cyber Gray Metallic,2009,2016,Pro//Base National Rule - Pbn,Basecoat,07/24/2017,1 ,1 ,0.473 L
23,PBT-1456488-D,1456488,-,Chevrolet,GGU / 718S / WA718S / Evolution Blue Metallic,GGU / 718S / WA718S , Evolution Blue Metallic,2010,2013,PBT,-,-,1 ,1 ,0.473 L
24,-,565731,-,Nissan,QT1 / Icelandic Pearl,QT1 , Icelandic Pearl,1997,2002,LIMCO Supreme Plus,-,06/25/2014,1 ,1 ,0.473 L
25,C6-4982644-A,4982644,17041256,Dodge,PB8 / BB8 / Midnight Blue Pearl,PB8 / BB8 , Midnight Blue Pearl,2003,2020,-,-,-,1 ,1 ,0.473 L
26,PBN-5361004-B,5361004,-,Ford,G3 / Pueblo Gold Metallic,G3 , Pueblo Gold Metallic,2004,2015,Pro//Base National Rule - Pbn,Basecoat,08/23/2016,1 ,1 ,0.473 L
27,PBN-5507771-C,5507771,-,Cadillac,WA8933 / White Diamond,WA8933 , White Diamond,1991,2000,Pro//Base National Rule - Pbn,Midcoat,08/20/2015,1 ,1 ,0.473 L
28,C6-4956712-B,4956712,-,BMW,354 / Titanium Silver Metallic,354 , Titanium Silver Metallic,2000,2014,Crossfire B/C,Basecoat,04/13/2015,1 ,1 ,0.473 L
29,PBT-1392904-C,1392904,-,Chrysler,AY111JSC / JSC / PSC / Billet Metallic,AY111JSC / JSC / PSC , Billet Metallic,2011,2022,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.473 L
30,PBI Midcoa -100698877-D,100698877,19193965,Nissan,QX1 / Glacier Pearl,QX1 , Glacier Pearl,2002,2021,PBT Midcoat,Midcoat,08/03/2020,1 ,1 ,0.473 L
31,PBT-1403946-C,1403946,15586604,Toyota,6T7 / Cypress Mica,6T7 , Cypress Mica,2008,2019,PBT,-,08/22/2019,1 ,1 ,0.473 L
32,500DB-103232646,103232646,30595309,Ford,454 / 7283 / 0FK / 7XK / C4A / DST / DSTE / DSTEWTA / DSTEXTA / LFA / M7283A / PQ5 / RJA / RR / VB3 / Ruby Red Metallic,454 / 7283 / 0FK / 7XK / C4A / DST / DSTE / DSTEWTA / DSTEXTA / LFA / M7283A / PQ5 / RJA / RR / VB3 , Ruby Red Metallic,1990,2022,500 BeroBase,-,02/17/2023,1 ,1 ,0.473 L
33,C6-4956835-A,4956835,-,Ford,Z1 / Oxford  White,Z1 , Oxford  White,1997,2016,Crossfire B/C,Basecoat,04/01/2014,1 ,1 ,0.473 L
34,PBT-100280159-B,100280159,-,Ford,UX / 7226 / M7226A / 4AG / 5C / APF / APFF / C4E / EUK / LFE / PN4AG / PN4EK / SWV / WVR / Ingot Silver Metallic,UX / 7226 / M7226A / 4AG / 5C / APF / APFF / C4E / EUK / LFE / PN4AG / PN4EK / SWV / WVR , Ingot Silver Metallic,2001,2023,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.473 L
35,PBT-100280111-B,100280111,15165862,GMC,WA928L / Stealth Gray Metallic,WA928L , Stealth Gray Metallic,-,-,PBT,-,07/17/2019,1 ,1 ,0.473 L
36,PBN-5512825-B,5512825,-,Toyota, 070 / Blizzard Pearl, 070 , Blizzard Pearl,2003,2015,Pro//Base National Rule - Pbn,Midcoat,07/10/2017,1 ,1 ,0.473 L
37,PBT-1559436-B,1559436,11077292,Kia,BAH / Twilight Blue Metallic,BAH , Twilight Blue Metallic,2010,2018,PBT,-,07/23/2018,1 ,1 ,0.473 L
38,PBN-5471843-C,5471843,-,Chevrolet,316N / Gold Mist Metallic,316N , Gold Mist Metallic,2007,2012,Pro//Base National Rule - Pbn,Basecoat,09/26/2017,1 ,1 ,0.473 L
39,B8-4928123-Q,4928123,-,Suzuki,ZRJ / Ablaze Red li Pearl,ZRJ , Ablaze Red li Pearl,2011,2013,Tecbase,Basecoat,03/15/2016,1 ,1 ,0.473 L
40,PBT-1401956-D,1401956,9922673,Honda,NH678M / Silver Pearl Metallic,NH678M , Silver Pearl Metallic,2005,2009,PBT,-,04/23/2018,1 ,1 ,0.473 L
41,PBT-1565016-C,1565016,9922751,Hyundai,B7 / Golden Beige Metallic,B7 , Golden Beige Metallic,2005,2008,PBT,-,04/23/2018,1 ,1 ,0.473 L
42,-,-,-,Toyota,TOY3Q3(L) / 3Q3 / Dark Red,TOY3Q3(L) / 3Q3 , Dark Red,2002,2017,Wandabase HS,-,-,1 ,1 ,0.473 L
43,PBN-5378655-B,5378655,-,Buick,822K / Capuccino Frost Metallic,822K , Capuccino Frost Metallic,2003,2007,Pro//Base National Rule - Pbn,Basecoat,07/02/2014,1 ,1 ,0.473 L
44,PBT-1398578-B,1398578,21309090,Chevrolet,GXH / WA122V / 122V / Berlin Blue Metallic,GXH / WA122V / 122V , Berlin Blue Metallic,2013,2018,PBT,-,-,1 ,1 ,0.473 L
45,PBT-1368040-B,1368040,-,Chrysler,AY142KBU / KBU / PBB / True Blue Pearl,AY142KBU / KBU / PBB , True Blue Pearl,2012,2022,PBT,Basecoat,-,1 ,1 ,0.473 L
46,C6-4966619-A,4966619,-,Ford,LL / Wedgewood Blue Metallic,LL , Wedgewood Blue Metallic,1999,2003,Crossfire B/C,Basecoat,02/07/2014,1 ,1 ,0.473 L
47,C6-4961597-B,4961597,-,Mini,862 / Indi Blue Metallic,862 , Indi Blue Metallic,2004,-,Crossfire B/C,Basecoat,04/08/2015,1 ,1 ,0.473 L
